review_id,review_title,review_body,language,product_category,sentiment_label,confidence,notes
en_0331970,Good cord,Quick delivery works as it should. Thank you,en,other,,,
en_0897981,Perfect lights.,"We have these on the driveway, garage and on the fence in the back yard. No need to leave the back light on anymore when we go away. Surprises anyone who is lurking around and not expecting it too :D They are bright and helps when I am unloading groceries from the car at night. Planning to get at least 1 more for the back yard, maybe 2.",en,home_improvement,,,
en_0057491,Great battery life.,"I have many ear buds, the Peats sound great. The battery lasts all day. I have not tried Alex yet. They are not uncomfortable after using all day. The only improvement I would recommend is a better clasp to clip on to your shirt.",en,wireless,,,
en_0711669,no. just no.,"The other reviews warned about the manual. they were right, it basically just tells you that it's a camera. There are 2 buttons, one on each side with the letter M. neither of which brings you to menu. So it's difficult to set the time or use any of it's features. I will be returning mine.",en,other,,,
en_0873342,good blades,"Watch the online video on how to replace blades. Once I did, it was easy and fast.",en,automotive,,,
en_0595690,"The sizing factor is incorrect. If you need a Small, order a Medium.","The sizing factor is incorrect. If you need a Small, order a Medium.",en,apparel,,,
en_0792270,Great to keep in the car!,My daughter is almost 2 and LOVES this! We bought it as a toy to keep in the car during a long road trip and now she plays with it every day!,en,toy,,,
en_0543284,Two Stars,Magnetic connections fail soon after using it. Lasted 4 weeks,en,electronics,,,
en_0658540,It's a great stand for the price,"It's a great stand for the price, however the instructions at times are very unclear if you're new at using a stand like this. Last bit of advice for anyone buying one, make sure you have someone helping you install your monitors and set the arms to the center, otherwise the off balance will tilt the base stand and it can become a mess. You really want to have someone helping you set this up if possible, it can be done alone, but it's a little bit of a hassle.",en,pc,,,
en_0099953,Dependability and price,Provides the hold I need on a daily bases,en,other,,,
en_0446730,Cute but little too big,Bear was alittle too big. The description of product didn't have size of cutters.,en,kitchen,,,
en_0724758,Some good...some the same contained in other collections.,"L' Amour stories all rate an A+, except for one of his earlier shorts. But the collections bother me. I have read several of the collections in which I have found one or more shorts in them that I read in another collection. Seems to me somebody is just trying to stuff the book to make more money. I doubt I'Amour was that type of a person. A",en,digital_ebook_purchase,,,
en_0255883,Don't buy it for the smell,"It's Olive Oil soap and I'm allergic to Coconut Oil (which is in most soaps) so I wanted to try it. It doesn't lather well, because of lack of Coconut Oil. It doesn't smell good. But, it's very large and you can cut it in half and it lasts a long time!",en,beauty,,,
en_0576739,Yawn,Disappointed and bored. I was expecting a lot more action.,en,other,,,
en_0987862,Love them!! :),I'm really happy with these skates. They are sturdy and perfect one for a beginner. My 3yr old son is having so much fun. Fisher Price products have always been the best including this one!!,en,toy,,,
en_0519691,This egg holder product is not useful!,This product was hard to use with potential to be dangerous. I would not recommend this to anyone.,en,kitchen,,,
en_0170892,End of wand is weak,Cats loved it until the tip broke off it could be a bit more durable but all in all decent cat toy,en,pet_products,,,
en_0130833,A very unique and somewhat existential book that is not ...,A very unique and somewhat existential book that is not just for children. This book actually gets you thinking. There are some concepts addressed hear that take you out of the ordinary story book and into an outer world that is just as real as we live in today. I can’t wait to see what else this author does!,en,digital_ebook_purchase,,,
en_0804455,A scam,Stole my money and haven’t given it back . I never received the package . Don’t buy from here,en,drugstore,,,
en_0303723,... ended up when my young grandkids saw them they loved having their drinks of water from them,I ordered these to travel with and ended up when my young grandkids saw them they loved having their drinks of water from them. ( They did colapse too easily) So fascinated with how they can colapse and pull back up. We have not been able to use the largest one because there is a place on the top of the rim where it is jagged therefore not safe to use. I had not checked the whole set thoroughly and the time had passed where it was too late to return back to Amazon. Wish that there was a way to replace the large one.. Thanks.,en,luggage,,,
en_0281032,Can’t tell the difference,I tried with and without the filters and can’t tell the difference. I am extremely particular about the water I drink so it’s not like I just couldn’t tell the difference. The filters don’t fit securely in the cartridge holder so if they make any difference at all you can’t tell maybe because the water passes around the filters rather than through them. I do not recommend.,en,kitchen,,,
en_0588175,Very comfortable,Keeps my feet warm and dry during my hikes.,en,apparel,,,
en_0561880,Received questionable email from Amazon.com pertaining to this app.,"I received an email from Amazon.com stating that if I downloaded their Amazon Underground app and signed once, that I would receive $10 if done so before Dec. 4 2017. It's Jan 11 2018. To date have not received said funds.",en,other,,,
en_0099671,Not reliable,The money didnt shoot out very well. I returned this item. I was not a huge fan,en,toy,,,
en_0373863,Perfect for disposable,"As an event planner, I've used these at outdoor/poolside parties. They add a 'sophisticated' elegance, but no worries about having 60 dinner plates/dessert dishes and flatware that can break or get lost. The matching cups were used for wine. I've purchased many sets and used black & white linen tablecloths to dress it up even more. The napkins were used from the set as they feel like and are the size of a cloth napkin.",en,kitchen,,,
en_0091764,Highly absorbent,"Great for extra absorbency, especially for night use, and they dry easier/faster than the microfiber.",en,baby_product,,,
en_0098323,Box not closed securely or taped,"The box was not closed securely or taped so it could not open, so when the package arrived, nails were out of the box and most were broken into smaller pieces. Very poor planning on the Spot Nails and Amazon. Lesson Learned will not order items like this in the future online.",en,other,,,
en_0442869,2 plugs and can pair with Alexa,I have used this for lamps and lights. I had some trouble pairing it to Alexa as it put multiple names in the app for the same plug. For example it is a double plug but 3 living room lamps showed up in the app. Otherwise it is a good plug and less expensive than the Alexa plug. It is nice that it can control 2 items per socket.,en,other,,,
en_0023683,poor 3D printer quality,Very unfinished. Rough surface.... poor 3D printer quality,en,sports,,,
en_0366936,Another Max recommended.....,"Yes, the spoiled has this too! We both love it.....I got to go back to my 4 mile/day walks!",en,pet_products,,,
en_0824073,Arrived In Good Condition,This arrived in good condition from Japan. I think it will be handy when I want to make miso soup from scratch instead of a prepackaged soup.,en,kitchen,,,
en_0778304,Where’s my stuff ?,I was super excited about this decal but It’s been 2 months since I ordered this product and still no arrival. I’ve tried contacting the seller two times now with no luck. My tracking number says it’s in transit but I’m assuming its been lost. If I ever receive my decal will change my rating when I receive my product.,en,home_improvement,,,
