review_id,review_title,review_body,language,product_category,sentiment_label,confidence,notes
en_0878143,Nice try on my part,Disappointed in the amount of cash it can hold. Difficult to get cards in and out,en,apparel,Negative,High,
en_0165695,NOT like described,"The colors are not very ""assorted"" they are very similar in color. Not like the picture shown at all.",en,office_product,Negative,High,
en_0817116,Runs small,Very cute but made small. I ordered a size larger than I normally wear and it was tight.,en,apparel,Negative,Medium,"Positive comment on appearance, but sizing issue dominates overall sentiment"
en_0099953,Dependability and price,Provides the hold I need on a daily bases,en,other,Positive,Medium,Practical satisfaction expressed without strong emotional wording
en_0720821,Works great. I plan on buying more,Works great. I plan on buying more.,en,home_improvement,Positive,High,
en_0303241,Good but won't solve all your problems,I bought this product because I thought it would help me not get a flat tire. There are a lot of thorns in my area. Unfortunately it does not help against nails. For the most part it works but it's still not strong enough. I am still looking for the perfect tire liner.,en,other,Negative,High,"Some positive functionality, but product limitations dominate"
en_0021765,Does not work!,"This shampoo did not remove orange from my hair, in fact, it brought back orange! It stripped the dark ash blonde dye from my hair and left it back in its orange state. My hair felt very soft in the morning, that’s why I’m giving it 2 stars. But it did not tone the orange out at all, it made my hair even more orange. I will use it a few more times and if it starts working I will update my review.",en,beauty,Negative,High,"Minor positive effect, but failure of the main product function dominates"
en_0302264,Fabric is stiff,One of the prints wasn’t Christmas and the feel of the fabric is not soft.,en,home,Negative,High,
en_0595690,"The sizing factor is incorrect. If you need a Small, order a Medium.","The sizing factor is incorrect. If you need a Small, order a Medium.",en,apparel,Negative,Medium,Negative sizing issue expressed partly as practical advice
en_0311910,The ketogenic vegetarian diet is an absolute diet which is ...,"The ketogenic vegetarian diet is an absolute diet which is I felt very necessary for everyone who are confused about their diet though, it will assist in selecting right diet. This diet will surely help you to heal your body and upgrade your lifestyle; each of this book recipes is well explained.",en,digital_ebook_purchase,Positive,High,
en_0779152,One Star,I ordered a 2 pack and only received one pack!,en,camera,Negative,High,
en_0517055,Broken case and loose disc..,Well i love this movie but the inside of the case was broke and the disc was scratched up from being loose in the case. Really disappointed,en,other,Negative,High,"Positive opinion of the movie, but damaged product condition dominates"
en_0415034,good quality,"These are very good quality, and the arch support is good for my old feet. However, the heel is a bit loose for my narrow feet. I would not be able to wear the slippers without socks.",en,shoes,Positive,Medium,"Minor fit issue, but overall product quality is evaluated positively"
en_0294653,Good charger on the go.,"Charger has worked fine for my needs. The fan is very loud as is the end of cycle beep but noise aside, it's great.",en,toy,Positive,Medium,Noise complaints are outweighed by overall positive performance
en_0254812,Good video monitor camera,Camera works great in our baby's room. Have no complaints other than the temp gauge seems to fluctuate quite a bit.,en,baby_product,Positive,Medium,"Minor temperature gauge issue, but overall evaluation remains positive"
en_0470525,Slick Willy sez:,"First off, been buying this stuff for years-the wife and I go through it like some people buy milk, if ya know what I mean. Anyway, the bottles leak worse than my wife when she sees me naked. So, bad design. I'm thinking of wrapping some teflon tape on it. On the threads of the bottle, that is. The lube itself is top-notch and lasts for hours but it gets expensive. I spent more on this last year than on my kid's college fund. But in all fairness, it's a better investment. It also stays cool and maintains sufficient lubricity even in the high heat that is generated in extreme friction situations. So much so that, while I have not yet done it, I have pondered replacing the Mobil 1 full-synthetic oil in my truck with this stuff. So if you like to have the excitement, and who doesn't, get yourself some of this.",en,drugstore,Positive,High,Bottle design and price issues are outweighed by strong product praise
en_0987542,Not the best tasting in my opinion,Just not crazy about the flavor.,en,grocery,Negative,High,
en_0683035,Don’t Waste Your $!!!,Ring is beautiful but not sterling silver!after about two weeks it started to tarnish i’m Very disappointed because I really liked this and also had it personally engraved,en,jewelry,Negative,High,
en_0290023,Scent does not last,"As noted by other reviewers the scent does not last very long. It is very strong at first, but the scent fades quickly. So it goes from overpowering to nothing in a matter of days. However, works well to remove unwanted odors for a short time. I used on my air purifier.",en,home_improvement,Negative,Medium,"Short-term odor removal works, but poor scent longevity dominates"
en_0754015,An ok product.,Runs a little small. Once you snap the inner buttons and the outer buttons it fits very snugly. Didn’t like that. And baby grew out of them faster than other products. I did like the side snaps when baby was real new as getting onesies over the head was a struggle. I wish these came in colors other than grey. Material on the medium thickness side. An ok product.,en,apparel,Negative,Medium,"Some positive features, but multiple fit and usability complaints dominate"
en_0817248,One Star,"I have this stool not even one year, the hydraulic bar is not functioning",en,furniture,Negative,High,
en_0106609,Great product..great price,Arrived before scheduled. Did as directed on instructions. Works beautifully and is a very soothing ambiance,en,home_improvement,Positive,High,
