review_id,review_title,review_body,final_polarity,final_intensity,language
en_0328488,Unhappy with purchase,Seal was broken. Product looks different than prior purchase.,Negative,Medium,en
en_0462975,Don’t purchase,Product didn’t work as stated. Followed directions and it’s currently the 8th day and haven’t seen any peeling or difference. Will not buy again. Very disappointed. Will be buying Baby Foot.,Negative,High,en
en_0565881,Spilled in shipping,The seeds were received quickly but were spilled out into shipping envelope.,Negative,Low,en
en_0636834,Terrible design,This design causes the fan to constantly move away from you and swirl around. Buy one that is enclosed all the way around.,Negative,High,en
en_0106633,One Star,Bought these and have had them up two weeks and most of them already not working,Negative,Medium,en
en_0087364,Wireless charging stops after a few minutes of charging,"I bought this for the wireless charging capability. I was disappointed that when using wireless charging, it will charge for a few minutes and then it stops charging. You have to continuously check on it to make sure the charging has not shut off. I bought three of these. One for myself and two for gifts. Then I ordered a forth one for another gift. All four have a the same problem. I would not buy again.",Negative,High,en
en_0867652,Unreliable,I never received the package!,Negative,Medium,en
en_0779152,One Star,I ordered a 2 pack and only received one pack!,Negative,Medium,en
en_0879650,Cheap Clasp-Lost Fitbit,I loved the look of this band but unfortunately it has a cheap clasp and I lost my entire Fitbit!,Negative,High,en
en_0635600,Not a supported accessory,"Works for a minute or so, then gets the error, “This accessory is not supported by this iPhone.” iPhone XR. When reading all the 5 star reviews, they seem fake or irrelevant. Hope this helps someone out there, good day.",Negative,High,en
en_0863454,Are these even Bunn filters?,Are these even Bunn filters? Not packaged as indicated in the photo. Just filters stuffed in plastic bags. I have no idea who made these.,Negative,Medium,en
en_0100838,Not happy,"Flimsy, too small, very disappointing.",Negative,High,en
en_0378808,It did not arrive,I did not receive order.,Negative,Medium,en
en_0167781,One Star,Very bland tasting and over-priced whole food brand.,Negative,Medium,en
en_0995880,Broke the 3rd time I used it,"I should've known better than to purchase this. It looked cheap and is extremely cheap. The top of the zippered pouch busted open the 3rd time I used it. The worst part is that when folded, that part is upside down which means I can't store anything in that pound anymore. Pretty much rendered it completely useless.",Negative,High,en
en_0066766,One Star,I ordered this product and did not receive my items,Negative,Medium,en
en_0229378,One Star,"This said american size, it was chinese size and way too small XXL is a large",Negative,Medium,en
en_0020171,Cheap :(,"This item's string has already broken on each side of the sleeping mask. I have had to ""save the day"" by sewing it back together. For 6 or more dollars, it's not worth it. I should not have to sew it!!! Bummer cause it's cute and fits my 6 year old.",Negative,High,en
en_0968777,One Star,"I find other aromatherapy vaporizers more pleasant smelling, and they're less expensive.",Negative,Medium,en
en_0193755,Doesn’t work on black nails.,"It’s difficult to position the nail just right for it to be illuminated and trimmed. Forget trying this item to illuminate your dogs nails if your dog has black nails, you can’t see anything through black nails. Don’t waste your money.",Negative,High,en
