id,document,label,annotator_label,intensity
7644157,올,1,Unclear,Low
10072801,오늘도 봤지만 볼때마다 눈물이 나면서 기분이 잔잔하게 좋아진다.,1,Positive,Medium
67838,"너무 재밌어요 ,^ㅡ^",1,Positive,High
4644445,원영의..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,Unclear,Low
8678208,은은하게 다가오는 따뜻한 드라마♥,1,Positive,Medium
5691414,문근영 서우 천정명 옥택연 모두 다 너무 좋았다 ㅠㅠ,1,Positive,Medium
9473399,BLACK ... 불가능이란건없네요,1,Unclear,Low
9902198,세상에 이렇게 재밌을수가. 이걸 왜 이제 봤는지 후회했다. 깨알같은 모든 대사와 진행상황이 재미없을 수가 없음ㅠ,1,Positive,High
8005270,재미있었는데,1,Positive,Medium
10072118,1234567890,1,Unclear,Low
8407567,평점8.5는 된다요. 평점이 생각보다 낮아 평점 올리고픈 마음에 10 찍고갑니다. 재밋습니다.,1,Positive,Medium
8664579,창정이행님 여기 삐끼1로 나옴 ㅋ 중훈햄 완전 정점때 최고의 영화!,1,Positive,High
9241030,"초등학교 1학년 때 처음 봤지만, 십여년이 지나도 잊혀지지 않아요.",1,Positive,High
9804655,코미디를 즐기러 갔다 잔인함을 느낀 영화,1,Negative,Medium
3363816,플스여 영원하라!,1,Unclear,Low
7437868,전쟁선포니 뭐니. 남북 위기고조가 되는 지금 이 시점에 디어평양을 보았습니다. 돌이킬수 없이 흘러가버린 한민족 열전이 얼마나 많은 상처를 우리에게 안겼는지. 사랑하는 이의 얼굴이 떠오릅니다.더이상의 이별은 없기를...,1,Positive,Low
10172502,엄마 아들도 행복한 방법. 자유,1,Unclear,Low
5534992,재밋던데,1,Positive,Medium
8189016,야웅~ 잼있겠다옹~~,1,Positive,Low
3163663,진짜 재밌었음 ㅋㅋㅋ,1,Positive,High
5551876,무협지에서 자주 등장하던 복수의 악순환. 분위기부터 구성까지 아주 좋았음.,1,Positive,High
9240357,와우 ~ 월드 보다 더 자극적이네 ~,1,Unclear,Medium
8048775,연기 다 잘하고 문채원은 이쁘고 ㅋ,1,Positive,Medium
6456942,정말..장면 하나하나가 이쁘네요. 주인공 두분 너무 잘어울림!,1,Positive,High
491041,로버트칼라일과 키스신....명장면..........최고~!,1,Positive,High
9550865,친구들이랑 단체로 봤었는데 다같이 펑펑 어흑어흐흘거허엏헑 울어서 서로서로 당혹스러웠던 그만큼 마음울린 영화였음,1,Positive,High
6124167,오랜만에 다시봤다 언재 봐도 명작ㅎㅎ,1,Positive,High
5857836,이것이 예술.^^,1,Positive,High
8001533,"전쟁으로 인해 사람이 정신적으로 얼마나 피폐해지는지. 전쟁영웅 대접은 커녕 쓸쓸한 마을 분위기, 영 좋지 않은 말로로 죽은 친구들. 엔딩까지 씁쓸한 영화였지만 이 말고도 많은 교훈이 숨어있는 걸작.",1,Positive,High
9539115,내가 늙은것 같엌;진짜 엄청 울음.,1,Positive,High
10135095,와ㅡ다시보니 너무 재미있고 감동있고 그리고 생각해보니 한국영화에서 보지못한 신선한소재아이들과 같이봤는데 많은걸생각하고 너무 잼있게본영화.잘봤습니다.정재영님 연기 대박잘해ㅜㅡㅜ,1,Positive,High
8851894,"젊은 날, 구속 없는 자유를 누리며 풋풋한 사랑을 꿈꾸던 시절이 다시 기억나는 영화",1,Positive,Medium
5430509,평점알바 이딴거 치우고 이거보고 재미없다는 놈들은 진짜 자살해라 잼있다진짜,1,Positive,High
8047685,그저 단순히 웃기기만 한게 아니라 영화가 끝나고도 보길 잘했다는 기분이네요 ~,1,Positive,Medium
5849027,최고의 명작이라고 생각합니다.아직 못보신 분들은 꼭 감상하세요.,1,Positive,High
2692872,지금의 기준으로 논하지 마라!! 당대 최고의 무협영화,1,Positive,High
9074719,단순 지존파에 대한 얘기뿐만 아닌 대한민국 전체를 볼 수 있는 좋은 다큐,1,Positive,Medium
5976178,최고다,1,Positive,High
478400,이보영 너무 이쁘다,1,Positive,High
4810895,와 재밌겠다!,1,Positive,Low
