review_id,annotator_polarity,annotator_intensity,qa_polarity,qa_intensity,polarity_agreement,intensity_agreement,final_polarity,final_intensity
en_0460401,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0608807,Negative,High,Negative,High,True,True,Negative,High
en_0724758,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0227686,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0446730,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0615055,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0543284,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0341678,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0056650,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0170892,Negative,Low,Negative,Low,True,True,Negative,Low
en_0436046,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0714896,Negative,Medium,Negative,High,True,False,Negative,High
en_0063224,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0648519,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0776613,Negative,Medium,Negative,High,True,False,Negative,High
en_0099671,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0032500,Negative,Medium,Negative,High,True,False,Negative,High
en_0065166,Negative,Medium,Negative,High,True,False,Negative,High
en_0965257,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0661278,Negative,Low,Negative,Low,True,True,Negative,Low
