review_index,initial_sentiment,initial_intensity,final_sentiment,final_intensity,sentiment_changed,intensity_changed,any_changed
31,Negative,Low,Negative,Medium,False,True,True
34,Positive,Low,Positive,Medium,False,True,True
41,Negative,Medium,Negative,High,False,True,True
42,Negative,Medium,Positive,Medium,True,False,True
47,Positive,High,Positive,Medium,False,True,True
48,Negative,Medium,Negative,High,False,True,True
49,Negative,Low,Positive,Medium,True,True,True
53,Negative,Medium,Negative,High,False,True,True
55,Positive,High,Positive,Medium,False,True,True
56,Negative,High,Negative,Medium,False,True,True
58,Negative,Low,Negative,Medium,False,True,True
64,Mixed,Medium,Negative,Medium,True,False,True
69,Positive,Low,Positive,Medium,False,True,True
74,Negative,Low,Negative,Medium,False,True,True
82,Negative,Medium,Negative,High,False,True,True
84,Positive,Low,Negative,Medium,True,True,True
94,Negative,Medium,Negative,High,False,True,True
97,Positive,Low,Positive,Medium,False,True,True
99,Negative,Medium,Negative,High,False,True,True
106,Negative,Low,Negative,Medium,False,True,True
108,Positive,Medium,Positive,Low,False,True,True
