review_id,product_id,reviewer_id,stars,review_body,review_title,language,product_category
en_0853851,product_en_0691102,reviewer_en_0203389,1,I did receive the item and it says it did arrive I don’t approve bc I wasted money on it,I don’t recomend,en,other
en_0737292,product_en_0509265,reviewer_en_0357543,1,"The difficulty I had with using these is that you it goes around the entire headrest -- which means that if the seats have video screens on the backs of them, you're going to be obstructing the person's view behind you! So that's not an option. On seats without video screens I did use it, but it was really awkward and my head was held in this straight upright position which actually wasn't that conducive to sleeping. If you're on Spirit or Frontier where the seats don't recline -- really not comfortable unfortunately.",Will block screen if there are screens on the backs of headrests. Not comfortable on seats that don't recline,en,luggage
en_0574934,product_en_0898135,reviewer_en_0460742,1,Did not include the safety glove promised in the description. Food guard was dirty--appeared used. Emailed the customer service account on the included card Sunday afternoon and have not received a reply as of 8:30 pm Monday. I will update my review if the seller fixes their errors.,"Missing glove, dirty guard, customer service MIA",en,kitchen
en_0561880,product_en_0665297,reviewer_en_0481291,1,"I received an email from Amazon.com stating that if I downloaded their Amazon Underground app and signed once, that I would receive $10 if done so before Dec. 4 2017. It's Jan 11 2018. To date have not received said funds.",Received questionable email from Amazon.com pertaining to this app.,en,other
en_0007287,product_en_0533382,reviewer_en_0542162,1,"They float. The bag says they don’t, but they clearly do. Dusty and dirty.",Floaters,en,lawn_and_garden
en_0142252,product_en_0982718,reviewer_en_0840724,1,Did not work. Save your money.,Waste of money,en,baby_product
en_0341981,product_en_0977415,reviewer_en_0717249,1,Probably will not order online again. The boxs came opened.,Opened Boxes,en,drugstore
en_0198618,product_en_0042574,reviewer_en_0462101,1,It tore at the seam after having it for a week,Very cheaply made,en,luggage
en_0364590,product_en_0295806,reviewer_en_0729723,1,Gives the cats hard stools and constipation will never ever never ever buy this again. I feed it to the pigeons now,Zero quality,en,pet_products
en_0002372,product_en_0558472,reviewer_en_0593967,1,"I expected cheap, but at the very minimum expected instructions. None were included. This ended up being so frustrating!",Did not get instruction manual,en,furniture
en_0846870,product_en_0650481,reviewer_en_0506427,1,These ruined my product! I was excited to use these to make my necklaces look more professional but everything I used them on discolored so bad. I can't sell them now! Don't buy!!,They ruined my pruduct!,en,home
