review_id,product_id,reviewer_id,stars,review_body,review_title,language,product_category
zh_0346860,product_zh_0871204,reviewer_zh_0043636,1,99-50买的，结果只送来了这个，我还有12只牙刷呢？ 直接退了我26元，结果花了24.6买了这个牙刷，我就是日了狗,我还有12只牙刷呢,zh,drugstore
zh_0535540,product_zh_0654573,reviewer_zh_0264867,1,物流超级差！！！！！！对读者极度不尊重！！！！！！,看着心痛,zh,book
zh_0106310,product_zh_0722041,reviewer_zh_0561341,1,缺了几十页，妈妈的。。。。。。。。。。。。。。。。。。,缺页，不要买,zh,book
zh_0946036,product_zh_0866299,reviewer_zh_0437200,1,杯子做的很轻薄，至于这个属于质量好还是差就不说了，关键是醒酒瓶上有一个非常明显的瑕疵，这个在市场上是卖不出去的那种老板怎么就给我发过来了呢，是在实体店里卖不了了所以赶紧在网上卖出去吧，太缺乏诚信。。退货吧太麻烦，算了，以后再不会光顾了。,差评,zh,kitchen
zh_0769302,product_zh_0854999,reviewer_zh_0850732,1,声音太差，只有低音，而且低音实在差的可怜。,非常差劲,zh,other
zh_0789426,product_zh_0878958,reviewer_zh_0804084,1,想换货，找不到联系方式，商家留了一个电话竟然是错误的，我怎么联系到,买的寄过来时候有凹痕,zh,luggage
zh_0273000,product_zh_0457912,reviewer_zh_0394604,1,目前看到法国粉末，里面大量标点符号缺失，阅读体验太差,校对太差,zh,digital_ebook_purchase
zh_0966372,product_zh_0812911,reviewer_zh_0715057,1,注意：该产品为镍氢电池（不知道现在锂电这么普及厂家为什么还用镍氢电池），镍氢电池对充电是有严格要求的，否则导致冲不进电，寿命很短。而地宝的程序基本是自动运行，基本不需要人为控制。所以一般半年后电池就完蛋了，而电池半年就出保，厂家不管。想继续用就得花400元再买块电池。后续成本太高，厂家的坑太深。这些都是我跟售后沟通完了解的情况。还有很多款用的都是镍氢电池，所以提醒大家买前一定看好想好，不要再上当了。进口的是贵，但不会只能用半年！！ 这么坑爹的厂家还是早点黄了吧，希望亚马逊不要再卖这样的产品坑害消费者了！,产品电池重大缺陷，寿命坑爹！,zh,home
zh_0116694,product_zh_0126983,reviewer_zh_0003422,1,评论里别人40多入手，我的下单是93？？之前下单的时候看到图片上有三瓶，还以为发货也是发3瓶,不太满意,zh,beauty
zh_0135694,product_zh_0519876,reviewer_zh_0910652,1,没注意量，以为和超市卖的茄汁罐头一样大，结果好小，太迷你了，虽然挂着进口2字，但比超市大分量的还贵一倍。,好小,zh,grocery
